municipality_code,geographic_level,state_abbreviation,municipality_name,land_use_purpose,income_bracket,association_status,number_of_agricultural_establishments,total_area_in_hectares
1709807,7,TO,Ipueiras,Total,Total,Total,171,44384.0
1710508,7,TO,Itacajá,Total,Total,Total,547,115121.0
1710706,7,TO,Itaguatins,Total,Total,Total,475,36208.0
1710904,7,TO,Itapiratins,Total,Total,Total,494,100867.0
1711100,7,TO,Itaporã do Tocantins,Total,Total,Total,283,84152.0
1711506,7,TO,Jaú do Tocantins,Total,Total,Total,624,160558.0
1711803,7,TO,Juarina,Total,Total,Total,313,38817.0
1711902,7,TO,Lagoa da Confusão,Total,Total,Total,490,330397.0
1711951,7,TO,Lagoa do Tocantins,Total,Total,Total,399,57289.0
1712009,7,TO,Lajeado,Total,Total,Total,125,8628.0
1712157,7,TO,Lavandeira,Total,Total,Total,181,25887.0
1712405,7,TO,Lizarda,Total,Total,Total,535,131843.0
1712454,7,TO,Luzinópolis,Total,Total,Total,215,11920.0
1712504,7,TO,Marianópolis do Tocantins,Total,Total,Total,670,176022.0
1712702,7,TO,Mateiros,Total,Total,Total,216,124847.0
1712801,7,TO,Maurilândia do Tocantins,Total,Total,Total,304,12317.0
1713205,7,TO,Miracema do Tocantins,Total,Total,Total,783,161318.0
1713304,7,TO,Miranorte,Total,Total,Total,504,75100.0
1713601,7,TO,Monte do Carmo,Total,Total,Total,832,200395.0
1713700,7,TO,Monte Santo do Tocantins,Total,Total,Total,389,84247.0
1713809,7,TO,Palmeiras do Tocantins,Total,Total,Total,546,53638.0
1713957,7,TO,Muricilândia,Total,Total,Total,246,79213.0
1714203,7,TO,Natividade,Total,Total,Total,359,150892.0
1714302,7,TO,Nazaré,Total,Total,Total,187,15449.0
1714880,7,TO,Nova Olinda,Total,Total,Total,719,106192.0
1715002,7,TO,Nova Rosalândia,Total,Total,Total,300,43070.0
1715101,7,TO,Novo Acordo,Total,Total,Total,197,88798.0
1715150,7,TO,Novo Alegre,Total,Total,Total,107,11891.0
1715259,7,TO,Novo Jardim,Total,Total,Total,174,53508.0
1715507,7,TO,Oliveira de Fátima,Total,Total,Total,82,15586.0
1715705,7,TO,Palmeirante,Total,Total,Total,724,165013.0
1715754,7,TO,Palmeirópolis,Total,Total,Total,570,136426.0
1716109,7,TO,Paraíso do Tocantins,Total,Total,Total,624,109185.0
1716208,7,TO,Paranã,Total,Total,Total,1469,479137.0
1716307,7,TO,Pau D'Arco,Total,Total,Total,421,117140.0
1716505,7,TO,Pedro Afonso,Total,Total,Total,376,129213.0
