cod_ibge,uf,populacao_2024,num_escolas,area_algodão_herbáceo_2024,area_cana_de_açúcar_2024,area_milho_2024,area_soja_2024,estabelecimentos_agro_total,area_agro_total_hectares,num_tratores
5106307,MT,28228.0,18444,381774.0,,579090.0,2089259.0,1157.0,1299909.0,1198.0
5106315,MT,2040.0,1551,,,3616.0,12395.0,229.0,140272.0,59.0
5106372,MT,18722.0,12567,347882.0,650.0,227478.0,450466.0,1079.0,295685.0,713.0
5106422,MT,33599.0,25275,18519.0,60.0,241750.0,565400.0,1873.0,668826.0,601.0
5106455,MT,3287.0,2712,10873.0,,40530.0,264690.0,253.0,213534.0,201.0
5106505,MT,31269.0,24717,,742.0,3508.0,92849.0,2551.0,860061.0,500.0
5106653,MT,7299.0,2922,,,4490.0,28140.0,391.0,214528.0,345.0
5106703,MT,2076.0,1056,,128.0,420.0,3794.0,143.0,60955.0,57.0
5106752,MT,54795.0,35892,,,29761.0,361098.0,1302.0,636328.0,723.0
5106778,MT,12524.0,7563,,,150922.0,412500.0,793.0,236794.0,252.0
5106802,MT,5690.0,3747,287954.0,55.0,912780.0,1279344.0,300.0,500979.0,521.0
5106828,MT,10167.0,7275,,,510.0,23396.0,1169.0,541109.0,667.0
5106851,MT,3181.0,2040,,5355.0,2662.0,,316.0,116872.0,168.0
5107008,MT,24587.0,12642,197935.0,121.0,216001.0,469356.0,1629.0,475397.0,1078.0
5107040,MT,92927.0,68145,877567.0,,1188621.0,1903557.0,361.0,507316.0,1233.0
5107065,MT,29820.0,20892,351222.0,,1174000.0,2279600.0,678.0,834190.0,1149.0
5107107,MT,17830.0,10806,,1458.0,1274.0,199.0,1568.0,110095.0,349.0
5107156,MT,2062.0,1665,,,116.0,,267.0,105130.0,64.0
5107180,MT,10431.0,7479,22091.0,,208960.0,602706.0,861.0,767409.0,660.0
5107198,MT,2697.0,1698,,128.0,88329.0,203250.0,176.0,57745.0,85.0
5107206,MT,4489.0,3105,,,748.0,1362.0,277.0,45612.0,48.0
5107248,MT,5677.0,4449,,,607654.0,763201.0,172.0,234416.0,382.0
5107263,MT,2460.0,2025,24820.0,882.0,41667.0,104495.0,385.0,119092.0,206.0
5107297,MT,2780.0,1590,,70.0,480.0,453.0,482.0,40533.0,119.0
5107305,MT,14662.0,11523,564940.0,36541.0,286752.0,735752.0,708.0,287760.0,1255.0
5107354,MT,6168.0,5679,,,520420.0,926850.0,342.0,612152.0,441.0
5107404,MT,4247.0,2727,,,6443.0,18525.0,203.0,32500.0,74.0
5107578,MT,3527.0,2880,,,112.0,3017.0,462.0,715452.0,164.0
5107602,MT,259167.0,181947,43969.0,256.0,292251.0,650917.0,2341.0,343399.0,1063.0
5107701,MT,15236.0,10248,4699.0,148.0,56318.0,297992.0,1631.0,487122.0,634.0
5107743,MT,2834.0,2157,,,187351.0,499500.0,262.0,336436.0,210.0
5107750,MT,3679.0,2340,,,2479.0,13104.0,598.0,145570.0,122.0
5107768,MT,3463.0,3162,369346.0,,563402.0,1057231.0,99.0,298401.0,520.0
5107776,MT,7720.0,5331,,,93676.0,238650.0,818.0,356744.0,262.0
